problem,expected,model,run,actual,sub_passed
4.5,0.7,DeepSeek-V4-flash (reasoning),1,0.34584403397011837,0
4.5,0.7,DeepSeek-V4-flash (reasoning),2,0.345844760466138,0
4.5,0.7,DeepSeek-V4-flash (reasoning),3,0.3454577675157754,0
4.5,0.7,DeepSeek-V4-flash,1,0.8723870190087706,0
4.5,0.7,DeepSeek-V4-flash,2,0.8723869338616775,0
4.5,0.7,DeepSeek-V4-flash,3,0.8723869338616775,0
4.5,0.7,DeepSeek-V4-pro (reasoning),1,0.34533907628862187,0
4.5,0.7,DeepSeek-V4-pro (reasoning),2,0.6922785425954682,1
4.5,0.7,DeepSeek-V4-pro (reasoning),3,0.6883011796413865,1
4.5,0.7,DeepSeek-V4-pro,1,0.8723786339599563,0
4.5,0.7,DeepSeek-V4-pro,2,1.0138914070577443,0
4.5,0.7,DeepSeek-V4-pro,3,0.8723786339599563,0
4.5,0.7,Gemini-3.1-Pro (reasoning),1,,
4.5,0.7,Gemini-3.1-Pro (reasoning),2,0.69067514062,1
4.5,0.7,Gemini-3.1-Pro (reasoning),3,0.34532809882161053,0
4.5,0.7,gpt-5.5 (reasoning),1,0.692413982117146,1
4.5,0.7,gpt-5.5 (reasoning),2,0.6894233651848718,1
4.5,0.7,gpt-5.5 (reasoning),3,0.6927539673852956,1
4.5,0.7,gpt-5.5,1,0.345457045820078,0
4.5,0.7,gpt-5.5,2,0.345457045820078,0
4.5,0.7,gpt-5.5,3,0.3454570458200781,0
4.5,0.7,Kimi K2.6 (reasoning),1,0.34533757030999757,0
4.5,0.7,Kimi K2.6 (reasoning),2,0.689166583467599,1
4.5,0.7,Kimi K2.6 (reasoning),3,0.34545704582006914,0
4.5,0.7,Kimi K2.6,1,0.345457045820078,0
4.5,0.7,Kimi K2.6,2,0.34532809882161053,0
4.5,0.7,Kimi K2.6,3,0.345457045820078,0
4.5,0.7,Qwen-2.5-72B,1,0.5288852725793468,0
4.5,0.7,Qwen-2.5-72B,2,0.34545553932699513,0
4.5,0.7,Qwen-2.5-72B,3,,
4.5,0.7,Qwen-3.5-397B (reasoning),1,0.34545704582006914,0
4.5,0.7,Qwen-3.5-397B (reasoning),2,0.34545704582006914,0
4.5,0.7,Qwen-3.5-397B (reasoning),3,0.34545704582006914,0
4.5,0.7,Qwen-3.5-397B,1,0.5288852725793468,0
4.5,0.7,Qwen-3.5-397B,2,0.3445663484938434,0
4.5,0.7,Qwen-3.5-397B,3,0.34495234284781695,0
4.5,0.7,Qwen-3.5-9B (reasoning),1,0.34545704582006914,0
4.5,0.7,Qwen-3.5-9B (reasoning),2,0.5086469989827133,0
4.5,0.7,Qwen-3.5-9B (reasoning),3,0.3454577675157754,0
4.5,0.7,Qwen-3.5-9B,1,0.3445662634404154,0
4.5,0.7,Qwen-3.5-9B,2,0.3445670683287813,0
4.5,0.7,Qwen-3.5-9B,3,0.3445662634404154,0
4.5,0.7,Qwen-3.6-27B (reasoning),1,0.34545696054678865,0
4.5,0.7,Qwen-3.6-27B (reasoning),2,0.6908921292062019,1
4.5,0.7,Qwen-3.6-27B (reasoning),3,0.34545696054678865,0
4.5,0.7,Qwen-3.6-27B,1,1.01325871630846,0
4.5,0.7,Qwen-3.6-27B,2,1.01325871630846,0
4.5,0.7,Qwen-3.6-27B,3,0.34498834073667217,0
ry_7.7,0.52,DeepSeek-V4-flash (reasoning),1,0.9644251340723677,0
ry_7.7,0.52,DeepSeek-V4-flash (reasoning),2,1.154717318342412,0
ry_7.7,0.52,DeepSeek-V4-flash (reasoning),3,0.9519054287211914,0
ry_7.7,0.52,DeepSeek-V4-flash,1,0.0,0
ry_7.7,0.52,DeepSeek-V4-flash,2,0.4679484079167672,0
ry_7.7,0.52,DeepSeek-V4-flash,3,0.0113,0
ry_7.7,0.52,DeepSeek-V4-pro (reasoning),1,0.5088815496865593,1
ry_7.7,0.52,DeepSeek-V4-pro (reasoning),2,0.4978926694332834,1
ry_7.7,0.52,DeepSeek-V4-pro (reasoning),3,0.5288263945568786,1
ry_7.7,0.52,DeepSeek-V4-pro,1,0.0007850802760718114,0
ry_7.7,0.52,DeepSeek-V4-pro,2,1.2635158193735423,0
ry_7.7,0.52,DeepSeek-V4-pro,3,0.46428754256893745,0
ry_7.7,0.52,Gemini-3.1-Pro (reasoning),1,0.5074368651158522,1
ry_7.7,0.52,Gemini-3.1-Pro (reasoning),2,0.5275625589617555,1
ry_7.7,0.52,Gemini-3.1-Pro (reasoning),3,0.526670317481641,1
ry_7.7,0.52,gpt-5.5 (reasoning),1,0.5190074744991111,1
ry_7.7,0.52,gpt-5.5 (reasoning),2,0.5149175626621061,1
ry_7.7,0.52,gpt-5.5 (reasoning),3,0.519007474499111,1
ry_7.7,0.52,gpt-5.5,1,-30.304515855423773,0
ry_7.7,0.52,gpt-5.5,2,0.9686528397626203,0
ry_7.7,0.52,gpt-5.5,3,1052.274987482195,0
ry_7.7,0.52,Kimi K2.6 (reasoning),1,0.6130668868867,0
ry_7.7,0.52,Kimi K2.6 (reasoning),2,0.5193113783181564,1
ry_7.7,0.52,Kimi K2.6 (reasoning),3,0.5242838759567193,1
ry_7.7,0.52,Kimi K2.6,1,0.9952643295485727,0
ry_7.7,0.52,Kimi K2.6,2,0.0946,0
ry_7.7,0.52,Kimi K2.6,3,0.5867835480213847,0
ry_7.7,0.52,Qwen-2.5-72B,1,12988.791086533269,0
ry_7.7,0.52,Qwen-2.5-72B,2,0.02382861156294707,0
ry_7.7,0.52,Qwen-2.5-72B,3,1.7167071851014884e-20,0
ry_7.7,0.52,Qwen-3.5-397B (reasoning),1,1.6781157139838143,0
ry_7.7,0.52,Qwen-3.5-397B (reasoning),2,10.160559451104243,0
ry_7.7,0.52,Qwen-3.5-397B (reasoning),3,0.941720844757035,0
ry_7.7,0.52,Qwen-3.5-397B,1,0.9077646285762652,0
ry_7.7,0.52,Qwen-3.5-397B,2,201.44947704462254,0
ry_7.7,0.52,Qwen-3.5-397B,3,1.8694970550373909e-06,0
ry_7.7,0.52,Qwen-3.5-9B (reasoning),1,6.379474874966854e-05,0
ry_7.7,0.52,Qwen-3.5-9B (reasoning),2,0.0,0
ry_7.7,0.52,Qwen-3.5-9B (reasoning),3,63.99999999999999,0
ry_7.7,0.52,Qwen-3.5-9B,1,0.6371457948365394,0
ry_7.7,0.52,Qwen-3.5-9B,2,161744.06015926308,0
ry_7.7,0.52,Qwen-3.5-9B,3,1564792.17603912,0
ry_7.7,0.52,Qwen-3.6-27B (reasoning),1,0.528871621377951,1
ry_7.7,0.52,Qwen-3.6-27B (reasoning),2,0.6065731392107304,0
ry_7.7,0.52,Qwen-3.6-27B (reasoning),3,7.105160998018041e-05,0
ry_7.7,0.52,Qwen-3.6-27B,1,5.566051868782093e+20,0
ry_7.7,0.52,Qwen-3.6-27B,2,7143.4,0
ry_7.7,0.52,Qwen-3.6-27B,3,1396059.942420474,0
