id,defective,model,state
MCQ_1_5,no,Gemini-3.1-Pro,both
MCQ_1_3,no,Gemini-3.1-Pro,both
MCQ_1_1,no,Gemini-3.1-Pro,both
MCQ_1_4,no,Gemini-3.1-Pro,both
MCQ_1_2,no,Gemini-3.1-Pro,both
MCQ_1_6,no,Gemini-3.1-Pro,both
MCQ_1_7,no,Gemini-3.1-Pro,both
MCQ_1_8,no,Gemini-3.1-Pro,both
MCQ_1_9,no,Gemini-3.1-Pro,both
MCQ_2_1,no,Gemini-3.1-Pro,both
MCQ_2_3,no,Gemini-3.1-Pro,both
MCQ_1_10,no,Gemini-3.1-Pro,code-only
MCQ_2_4,no,Gemini-3.1-Pro,both
MCQ_2_2,no,Gemini-3.1-Pro,both
MCQ_2_6,no,Gemini-3.1-Pro,both
MCQ_2_5,no,Gemini-3.1-Pro,both
MCQ_2_7,no,Gemini-3.1-Pro,both
MCQ_2_8,no,Gemini-3.1-Pro,both
MCQ_2_9,no,Gemini-3.1-Pro,both
MCQ_3_1,yes,Gemini-3.1-Pro,option-only
MCQ_3_2,yes,Gemini-3.1-Pro,option-only
MCQ_3_3,yes,Gemini-3.1-Pro,option-only
MCQ_2_10,no,Gemini-3.1-Pro,both
MCQ_3_4,yes,Gemini-3.1-Pro,option-only
MCQ_3_5,yes,Gemini-3.1-Pro,option-only
MCQ_3_6,yes,Gemini-3.1-Pro,option-only
MCQ_3_8,yes,Gemini-3.1-Pro,option-only
MCQ_3_7,yes,Gemini-3.1-Pro,option-only
MCQ_3_9,yes,Gemini-3.1-Pro,option-only
MCQ_4_1,no,Gemini-3.1-Pro,both
MCQ_4_2,no,Gemini-3.1-Pro,both
MCQ_4_3,no,Gemini-3.1-Pro,both
MCQ_3_10,yes,Gemini-3.1-Pro,option-only
MCQ_4_4,no,Gemini-3.1-Pro,both
MCQ_4_6,no,Gemini-3.1-Pro,both
MCQ_4_7,no,Gemini-3.1-Pro,both
MCQ_4_5,no,Gemini-3.1-Pro,both
MCQ_4_9,no,Gemini-3.1-Pro,both
MCQ_4_10,no,Gemini-3.1-Pro,both
MCQ_6_1,no,Gemini-3.1-Pro,both
MCQ_4_8,no,Gemini-3.1-Pro,both
MCQ_6_2,no,Gemini-3.1-Pro,both
MCQ_6_3,no,Gemini-3.1-Pro,both
MCQ_6_4,no,Gemini-3.1-Pro,both
MCQ_6_5,no,Gemini-3.1-Pro,both
MCQ_6_7,no,Gemini-3.1-Pro,both
MCQ_6_6,no,Gemini-3.1-Pro,both
MCQ_6_8,no,Gemini-3.1-Pro,both
MCQ_6_9,no,Gemini-3.1-Pro,option-only
MCQ_6_10,no,Gemini-3.1-Pro,both
MCQ_8_2,no,Gemini-3.1-Pro,both
MCQ_8_3,no,Gemini-3.1-Pro,both
MCQ_8_1,no,Gemini-3.1-Pro,both
MCQ_8_4,no,Gemini-3.1-Pro,both
MCQ_8_5,no,Gemini-3.1-Pro,both
MCQ_8_6,no,Gemini-3.1-Pro,both
MCQ_8_7,no,Gemini-3.1-Pro,both
MCQ_8_8,no,Gemini-3.1-Pro,both
MCQ_8_10,no,Gemini-3.1-Pro,both
MCQ_8_9,no,Gemini-3.1-Pro,both
MCQ_9_1,no,Gemini-3.1-Pro,both
MCQ_9_3,no,Gemini-3.1-Pro,option-only
MCQ_9_4,no,Gemini-3.1-Pro,neither
MCQ_9_5,no,Gemini-3.1-Pro,option-only
MCQ_9_6,no,Gemini-3.1-Pro,option-only
MCQ_9_7,no,Gemini-3.1-Pro,option-only
MCQ_9_8,no,Gemini-3.1-Pro,neither
MCQ_9_9,no,Gemini-3.1-Pro,neither
MCQ_9_2,no,Gemini-3.1-Pro,option-only
MCQ_10_2,yes,Gemini-3.1-Pro,option-only
MCQ_10_1,yes,Gemini-3.1-Pro,option-only
MCQ_10_3,yes,Gemini-3.1-Pro,option-only
MCQ_9_10,no,Gemini-3.1-Pro,option-only
MCQ_10_5,yes,Gemini-3.1-Pro,option-only
MCQ_10_6,yes,Gemini-3.1-Pro,option-only
MCQ_10_7,yes,Gemini-3.1-Pro,option-only
MCQ_10_8,yes,Gemini-3.1-Pro,option-only
MCQ_10_4,yes,Gemini-3.1-Pro,option-only
MCQ_10_9,yes,Gemini-3.1-Pro,option-only
MCQ_10_10,yes,Gemini-3.1-Pro,option-only
MCQ_11_2,no,Gemini-3.1-Pro,option-only
MCQ_11_1,no,Gemini-3.1-Pro,both
MCQ_11_4,no,Gemini-3.1-Pro,option-only
MCQ_11_5,no,Gemini-3.1-Pro,option-only
MCQ_11_3,no,Gemini-3.1-Pro,option-only
MCQ_11_9,no,Gemini-3.1-Pro,option-only
MCQ_11_8,no,Gemini-3.1-Pro,option-only
MCQ_11_7,no,Gemini-3.1-Pro,option-only
MCQ_12_1,no,Gemini-3.1-Pro,both
MCQ_11_6,no,Gemini-3.1-Pro,option-only
MCQ_12_2,no,Gemini-3.1-Pro,both
MCQ_12_3,no,Gemini-3.1-Pro,both
MCQ_12_4,no,Gemini-3.1-Pro,both
MCQ_11_10,no,Gemini-3.1-Pro,option-only
MCQ_12_5,no,Gemini-3.1-Pro,both
MCQ_12_6,no,Gemini-3.1-Pro,both
MCQ_12_7,no,Gemini-3.1-Pro,both
MCQ_12_8,no,Gemini-3.1-Pro,both
MCQ_12_9,no,Gemini-3.1-Pro,both
MCQ_12_10,no,Gemini-3.1-Pro,both
MCQ_13_1,no,Gemini-3.1-Pro,both
MCQ_13_2,no,Gemini-3.1-Pro,option-only
MCQ_13_3,no,Gemini-3.1-Pro,option-only
MCQ_13_4,no,Gemini-3.1-Pro,option-only
MCQ_13_5,no,Gemini-3.1-Pro,option-only
MCQ_13_6,no,Gemini-3.1-Pro,option-only
MCQ_13_7,no,Gemini-3.1-Pro,option-only
MCQ_13_9,no,Gemini-3.1-Pro,option-only
MCQ_13_8,no,Gemini-3.1-Pro,option-only
MCQ_13_10,no,Gemini-3.1-Pro,option-only
MCQ_14_5,yes,Gemini-3.1-Pro,option-only
MCQ_14_2,yes,Gemini-3.1-Pro,option-only
MCQ_14_4,yes,Gemini-3.1-Pro,option-only
MCQ_14_3,yes,Gemini-3.1-Pro,option-only
MCQ_14_1,yes,Gemini-3.1-Pro,option-only
MCQ_14_7,yes,Gemini-3.1-Pro,option-only
MCQ_14_6,yes,Gemini-3.1-Pro,both
MCQ_14_9,yes,Gemini-3.1-Pro,option-only
MCQ_14_8,yes,Gemini-3.1-Pro,option-only
MCQ_14_10,yes,Gemini-3.1-Pro,option-only
MCQ_15_1,no,Gemini-3.1-Pro,both
MCQ_15_2,no,Gemini-3.1-Pro,option-only
MCQ_15_3,no,Gemini-3.1-Pro,both
MCQ_15_4,no,Gemini-3.1-Pro,both
MCQ_15_5,no,Gemini-3.1-Pro,both
MCQ_15_6,no,Gemini-3.1-Pro,both
MCQ_15_9,no,Gemini-3.1-Pro,both
MCQ_15_10,no,Gemini-3.1-Pro,both
MCQ_15_7,no,Gemini-3.1-Pro,both
MCQ_15_8,no,Gemini-3.1-Pro,both
MCQ_16_2,no,Gemini-3.1-Pro,both
MCQ_16_1,no,Gemini-3.1-Pro,both
MCQ_16_3,no,Gemini-3.1-Pro,both
MCQ_16_5,no,Gemini-3.1-Pro,both
MCQ_16_4,no,Gemini-3.1-Pro,both
MCQ_16_7,no,Gemini-3.1-Pro,both
MCQ_16_6,no,Gemini-3.1-Pro,both
MCQ_16_8,no,Gemini-3.1-Pro,both
MCQ_16_9,no,Gemini-3.1-Pro,both
MCQ_16_10,no,Gemini-3.1-Pro,both
MCQ_17_2,yes,Gemini-3.1-Pro,option-only
MCQ_17_1,yes,Gemini-3.1-Pro,option-only
MCQ_17_3,yes,Gemini-3.1-Pro,option-only
MCQ_17_4,yes,Gemini-3.1-Pro,option-only
MCQ_17_5,yes,Gemini-3.1-Pro,option-only
MCQ_17_7,yes,Gemini-3.1-Pro,option-only
MCQ_17_9,yes,Gemini-3.1-Pro,option-only
MCQ_17_10,yes,Gemini-3.1-Pro,option-only
MCQ_17_6,yes,Gemini-3.1-Pro,option-only
MCQ_17_8,yes,Gemini-3.1-Pro,option-only
MCQ_18_1,no,Gemini-3.1-Pro,both
MCQ_18_2,no,Gemini-3.1-Pro,both
MCQ_18_3,no,Gemini-3.1-Pro,both
